frame,x_cm,y_cm,theta,detected
1825,28.5948179271708,29.679831932773045,126.81406846524222,1
1826,28.500840336134388,29.773809523809454,124.51208008801684,1
1827,28.492296918767444,29.83361344537808,125.85066220915941,1
1828,28.535014005602175,29.859243697478924,127.4620857753684,1
1829,28.569187675069962,29.901960784313655,132.25570718302072,1
1830,28.594817927170805,29.961764705882285,138.16312910400035,1
1831,28.63753501400554,30.030112044817862,142.88837100852626,1
1832,28.671708683473327,30.098459383753436,146.650204490694,1
1833,28.65462184873943,30.183893557422902,149.98770602757523,1
1834,28.654621848739435,30.235154061624588,149.81836053372447,1
1835,28.65462184873943,30.243697478991532,146.99614744725594,1
1836,28.646078431372484,30.235154061624588,146.80512741462476,1
1837,28.65462184873943,30.226610644257637,146.38867340193377,1
1838,28.65462184873943,30.19243697478985,145.7769113830371,1
1839,28.65462184873943,30.149719887955115,144.65186061947819,1
1840,28.663165266106375,30.10700280112038,144.26236532279626,1
1841,28.671708683473327,30.06428571428565,142.53927086923548,1
1842,28.66316526610638,30.01302521008397,141.14691339930982,1
1843,28.671708683473327,29.961764705882285,138.81803736189272,1
1844,28.68025210084027,29.927591036414505,136.88050580420867,1
1845,28.646078431372484,29.93613445378145,134.73829809774728,1
1846,28.65462184873943,29.919047619047554,133.05496141014913,1
1847,28.663165266106375,29.901960784313655,132.71594778196612,1
1848,28.65462184873943,29.910504201680606,135.44452183617415,1
1849,28.646078431372484,29.927591036414498,136.0951133367847,1
1850,28.663165266106375,29.927591036414498,137.70494307469377,1
1851,28.63753501400554,29.970308123249232,140.42153206840953,1
1852,28.603361344537753,30.01302521008397,144.19750823152629,1
1853,28.57773109243691,30.04719887955175,147.42497747138418,1
1854,28.569187675069962,30.081372549019544,149.81259915036364,1
1855,28.569187675069962,30.11554621848733,150.34926827187473,1
1856,28.569187675069962,30.149719887955115,151.8612687555417,1
1857,28.57773109243691,30.2009803921568,151.4939251719025,1
1858,28.57773109243691,30.24369747899153,149.01490707727626,1
1859,28.552100840336067,30.260784313725424,150.26767950563033,1
1860,28.535014005602175,30.25224089635848,151.45098619480177,1
1861,28.509383753501332,30.226610644257637,147.77687927261675,1
1862,28.492296918767444,30.183893557422902,143.5968355995005,1
1863,28.492296918767444,30.13263305322122,142.74656471166625,1
1864,28.492296918767444,30.072829131652593,140.5203940322969,1
1865,28.500840336134388,30.01302521008397,139.04012683592168,1
1866,28.51792717086828,29.93613445378145,141.46063968890888,1
1867,28.526470588235224,29.859243697478924,144.18849962587308,1
1868,28.526470588235224,29.81652661064419,142.4188355670609,1
1869,28.51792717086828,29.790896358543346,138.6271302343514,1
1870,28.509383753501332,29.790896358543353,140.30919674997241,1
1871,28.492296918767444,29.807983193277245,139.67935859028634,1
1872,28.483753501400496,29.81652661064419,139.7219047220118,1
1873,28.475210084033552,29.807983193277245,140.67444015127234,1
1874,28.441036414565765,29.81652661064419,139.76264541917863,1
1875,28.406862745097975,29.825070028011133,133.1934956052994,1
1876,28.364145658263244,29.859243697478924,129.0807836570214,1
1877,28.304341736694614,29.884873949579763,124.21673730861849,1
1878,28.218907563025148,29.87633053221282,118.1026492985695,1
1879,28.16764705882347,29.82507002801114,117.10673331965691,1
1880,28.116386554621783,29.748179271708615,115.01743662689054,1
1881,28.082212885153996,29.645658263305258,112.45564095093636,1
1882,28.065126050420105,29.585854341736628,109.7004528615962,1
1883,28.065126050420105,29.56022408963579,109.3704804428597,1
1884,28.082212885154,29.611484593837467,112.33508179500654,1
1885,28.065126050420105,29.6542016806722,112.51575047537703,1
1886,28.05658263305316,29.731092436974723,110.79598078367935,1
1887,28.04803921568621,29.790896358543353,109.74135835473813,1
1888,28.030952380952318,29.850700280111976,105.26084658798445,1
1889,27.996778711484534,29.833613445378084,98.60177841546195,1
1890,28.013865546218426,29.825070028011133,92.59816575909326,1
1891,28.02240896358537,29.790896358543353,84.72665414397889,1
1892,27.99677871148453,29.773809523809454,72.92334783929687,1
1893,28.005322128851482,29.76526610644251,70.6987539073902,1
1894,27.97114845938369,29.884873949579763,72.92472180347224,1
1895,27.91988795518201,30.021568627450915,84.56163432903307,1
1896,27.860084033613383,30.15826330532206,108.97049895531605,1
1897,27.825910364145596,30.269327731092368,118.73739501651447,0
1898,27.774649859943917,30.37184873949573,126.15092856377598,0
1899,28.116386554621783,30.13263305322122,131.24685537902707,1
1900,28.44957983193271,29.89341736694671,136.85410952596234,0
1901,28.79131652661058,29.6542016806722,142.11941647501425,0
1902,29.133053221288446,29.414985994397693,147.21401299361202,0
1903,29.47478991596632,29.175770308123184,151.85647583007812,0
1904,29.47478991596632,29.175770308123184,151.85647583007812,0
1905,29.47478991596632,29.175770308123184,151.85647583007812,0
1906,29.47478991596632,29.175770308123184,151.85647583007812,0
1907,29.47478991596632,29.175770308123184,151.85647583007812,0
1908,29.175770308123184,29.48333333333327,149.79115234870602,1
1909,28.893837535013944,29.782352941176402,148.50121554614654,1
1910,28.646078431372484,30.115546218487328,148.83384135129774,1
1911,28.441036414565765,30.465826330532146,149.54226569578418,1
1912,28.124929971988735,30.77338935574223,149.1163692959711,1
1913,28.090756302520948,30.76484593837528,150.33173525876722,1
1914,28.287254901960722,30.87591036414559,154.1812608168614,1
1915,28.2103641456582,30.85028011204475,153.20128480743261,1
